190;AREQUIPA;27;9;2016;9;1.00E+00;GUATEMALA;-16.44086;-71.55643;;;
192;AREQUIPA;16;9;2016;9;SN;ASOCIACION DE VIVIENDA NUEVA CHARACATO ZONA 6 MZ C;-16.47069;-71.48361;;;
193;AREQUIPA;26;6;2016;6;1.00E+00;PEDRO P DIAZ;-16.402714;-71.534197;;;
196;AREQUIPA;2;5;2016;5;SN;URBANIZACION LAS ESMERALDAS ZONA C MZ O PARQUE LAS;-16.41404;-71.53577;;;
197;AREQUIPA;8;5;2016;5;SN;SACSAYHUAMAN POR MZ G;-16.3997;-71.53602;;;
200;AREQUIPA;24;1;2016;1;SN;COMPLEJO HABITACIONAL DEAN VALDIVIA SECTOR IV MZ S;-17.12491;-71.80165;;;
201;AREQUIPA;17;1;2016;1;SN;SIGLO XX 222;-16.40132;-71.52877;;;
203;AREQUIPA;17;4;2016;4;SN;FERNANDINI 104;-16.40943;-71.54972;;;
204;AREQUIPA;23;6;2016;6;SN;PPJJ VICTOR ANDRES BELAUNDE MZ O LT 15 ZONA A SN;-16.4466;-71.53564;;;
205;AREQUIPA;26;6;2016;6;SN;PEDRO P DIAZ 102;-16.43849;-71.56153;;;
207;AREQUIPA;28;4;2016;4;SN;COOP VIRGEN DE CHAPI MZ D LT 01 SN;-16.41592;-71.48547;;;
208;AREQUIPA;18;2;2016;2;SN;FELIPE PARDO 209 URB PROGRESISTA;-16.41489;-71.50445;;;
211;AREQUIPA;17;3;2016;3;3;ESPINAR;-14.994011;-71.223718;;;
212;AREQUIPA;14;6;2016;6;SN;PENETRACION OCOÑA SECOCHA;-16.62244;-72.70817;;;
213;AREQUIPA;21;11;2016;11;SN;MAYTA CAPAC;-15.62801;-71.6451;;;
215;AYACUCHO;8;11;2016;11;SN;RESERVORIO DE CUCHIMACHAY;-13.84361;-74.37194;;;
217;AYACUCHO;27;5;2016;5;SN;LOCALIDAD PUTICA;-13.15649;-74.23304;;;
218;AYACUCHO;17;5;2016;5;SN;PROGRESO;-13.16551;-74.21261;;;
220;AYACUCHO;28;6;2016;6;SN;BARRIO PICHCCACHURI;-13.15649;-74.23304;;;
221;AYACUCHO;18;9;2016;9;SN;SALVADOR DE QUIJE;-13.96849;-73.73443;;;
222;AYACUCHO;3;9;2016;9;SN;COMUNIDAD DE SAN JOSE DE TIA;-13.16306;-74.24709;;;
223;AYACUCHO;14;4;2016;4;SN;PARAJE QUICHCAPATA HUAYLLAY;-12.05472;-76.99957;;;
224;AYACUCHO;5;5;2016;5;SN;PAGO CCACCAS;-13.15649;-74.23304;;;
225;AYACUCHO;16;3;2016;3;SN;EVITAMIENTO;-13.15979;-74.21307;;;
226;AYACUCHO;13;5;2016;5;SN;PARAJE CHICHAHUAYCCO CCOCHAS;-12.05472;-76.99957;;;
227;AYACUCHO;29;9;2016;9;SN;ARICA;-13.16635;-74.20047;;;
229;AYACUCHO;28;6;2016;6;SN;SIVIA Y LLOCHEGUA;-12.36008;-73.95795;;;
230;AYACUCHO;4;9;2016;9;SN;LLACCHUAPAMPA;-13.15649;-74.23304;;;
231;AYACUCHO;27;8;2016;8;SN;AMANIEL CASTRO;-13.16429;-74.23085;;;
232;AYACUCHO;27;8;2016;8;SN;AMANIEL CASTRO;-13.16429;-74.23085;;;
233;AYACUCHO;29;9;2016;9;SN;COPA;-13.15649;-74.23304;;;
234;AYACUCHO;11;6;2016;6;SN;TROCHA CARROZABLE;-13.15649;-74.23304;;;
235;AYACUCHO;31;8;2016;8;SN;VISTA ELEGRE;-12.28184;-74.02293;;;
236;AYACUCHO;17;10;2016;10;SN;CCOCHCCA;-13.15649;-74.23304;;;
237;AYACUCHO;7;5;2016;5;SN;CP DE TACA;-17.98692;-70.24036;;;
242;AYACUCHO;25;7;2016;7;1;CACERES;-13.15778;-74.22361;;;
243;AYACUCHO;30;8;2016;8;1;SANTA ROSA;-13.15998;-74.23309;;;
244;AYACUCHO;2;9;2016;9;10;CUZCO;-12.5;-72.5;;;
245;AYACUCHO;24;8;2016;8;SN;TUSUNAPAMPA;-13.15649;-74.23304;;;
246;AYACUCHO;5;9;2016;9;SN;LIBERTADORES KM 307;-13.18808;-74.25986;;;
247;AYACUCHO;8;11;2016;11;SN;RIACHUELO PERICCO HUAYCO;-13.18149;-74.21694;;;
248;AYACUCHO;5;10;2016;10;SN;PUENTE HUATATAS HUATATAS;-12.13699;-76.99885;;;
250;AYACUCHO;19;12;2016;12;4.00E+00;QUINUA;-13.15497;-74.22405;;;
251;AYACUCHO;8;12;2016;12;6;NICARAGUA;-13.65339;-73.94816;;;
252;AYACUCHO;31;10;2016;10;SN;INDEPENDENCIA;-13.14766;-74.2237;;;
253;AYACUCHO;28;2;2016;2;1.30E+01;ABRIL;-13.16318;-74.23247;;;
254;AYACUCHO;22;4;2016;4;SN;VIA PUCARA;-6.0398;-79.13123;;;
255;AYACUCHO;17;5;2016;5;17;ASOCIACION LA HOYADA;-13.15711;-74.2269;;;
256;AYACUCHO;4;2;2016;2;SN;VIA LIBERTADORES;-13.18808;-74.25986;;;
257;AYACUCHO;11;5;2016;5;SN;ASOCIACION MOLLEPATA;-13.50972;-72.52827;;;
258;AYACUCHO;1;4;2016;4;SN;RAMON CASTILLA;-3.90819;-70.51346;;;
259;AYACUCHO;12;6;2016;6;SN;SAN JUAN BAUTISTA;-13.1744;-74.20263;;;
260;AYACUCHO;13;6;2016;6;SN;AAHH LA PICOTA;-6.91346;-76.33732;;;
261;AYACUCHO;1;4;2016;4;SN;NO INDICA PNO INDICA;-8.06686;-79.05781;;;
262;AYACUCHO;25;6;2016;6;SN;INDEPENDENCIA;-13.14766;-74.2237;;;
263;AYACUCHO;19;3;2016;3;SN;ANEXO SAN JUAN DE LA FRONTERA;-6.4862;-77.81802;;;
264;AYACUCHO;27;5;2016;5;SN;ANEXO PICHIHULLCA;-13.15649;-74.23304;;;
265;AYACUCHO;6;11;2016;11;SN;ACHIHUAY;-13.15649;-74.23304;;;
